Number Of Equations,Algorithm 1 Duration,Algorithm 2 Duration,Algorithm 3 Duration,Algorithm 4 Duration
100,3.05479598,0.147249937,0.004590034,0.00394702
200,25.04106212,0.618894815,0.010164022,0.008279085
300,84.36625695,1.597476006,0.017812967,0.015381098
400,195.3234181,2.956540823,0.022712946,0.018615007
500,386.3398519,6.534266949,0.027817965,0.021939993
600,675.1713901,7.960592985,0.03137207,0.028558016
700,1067.200019,10.96036601,0.036033154,0.03105092
800,1580.886174,14.31795287,0.039669991,0.034095049
900,2283.334341,19.62832403,0.043445826,0.041130066
1000,,,0.050372839,0.043098927
2000,,,0.101259947,0.086031914
3000,,,0.146474838,0.128123045
4000,,,0.206701994,0.16902113
5000,,,0.248528004,0.218062878
6000,,,0.297628164,0.248672962
7000,,,0.342315197,0.297212124
8000,,,0.390858173,0.343971968
9000,,,0.447300196,0.395358086
